,date,prediction
0,2021-01-01,-0.2994452149791956
1,2021-01-02,-0.3250759878419453
2,2021-01-03,-0.3158456486042693
3,2021-01-04,-0.23131014063656552
4,2021-01-05,-0.19101094983447925
5,2021-01-06,-0.1148005148005148
6,2021-01-07,-0.12850707850707851
7,2021-01-08,-0.17885215221459763
8,2021-01-09,-0.22994073165746987
9,2021-01-10,-0.15089717046238785
10,2021-01-11,-0.22968874700718275
11,2021-01-12,-0.3840434419381788
12,2021-01-13,-0.18487540093757712
13,2021-01-14,-0.11230388109000825
14,2021-01-15,0.06258131667967734
15,2021-01-16,-0.20859397013243167
16,2021-01-17,-0.3396127681841968
17,2021-01-18,-0.2093265708650324
18,2021-01-19,-0.12544938505203407
19,2021-01-20,-0.1043171114599686
20,2021-01-21,-0.06876600102406553
21,2021-01-22,-0.056163458291117865
22,2021-01-23,-0.11319910514541387
23,2021-01-24,0.09197530864197531
24,2021-01-25,-0.07055393586005831
25,2021-01-26,0.0714556277056277
26,2021-01-27,0.05217391304347826
27,2021-01-28,0.046271777003484324
28,2021-01-29,-0.10816326530612243
29,2021-01-30,-0.039305019305019305
30,2021-01-31,-0.10153609831029185
31,2021-02-01,-0.05891968727789624
32,2021-02-02,-0.05775261324041812
33,2021-02-03,0.002780071566198735
34,2021-02-04,0.04314641744548287
35,2021-02-05,0.04888198757763976
36,2021-02-06,0.01976516634050881
37,2021-02-07,0.052532123960695384
38,2021-02-08,-0.23404761904761903
39,2021-02-09,-0.08132733408323958
40,2021-02-10,-0.22479717813051148
41,2021-02-11,-0.24053646775165763
42,2021-02-12,-0.2491417497231451
43,2021-02-13,-0.33685789276340455
44,2021-02-14,-0.27065637065637066
45,2021-02-15,-0.04355500821018063
46,2021-02-16,0.14479717813051146
47,2021-02-17,0.04351457000710732
48,2021-02-18,0.07194805194805196
49,2021-02-19,0.014004096262160783
50,2021-02-20,0.13987240829346093
51,2021-02-21,0.3011709601873536
52,2021-02-22,0.33787114845938376
53,2021-02-23,0.25498923187365397
54,2021-02-24,0.20515262515262517
55,2021-02-25,0.048577235772357716
56,2021-02-26,0.09186147186147185
57,2021-02-27,0.3714576074332172
58,2021-02-28,0.05865079365079365
59,2021-03-01,-0.05113997113997114
60,2021-03-02,0.049398496240601504
61,2021-03-03,-0.013403880070546739
62,2021-03-04,-0.08212094653812445
63,2021-03-05,0.057251700680272105
64,2021-03-06,-0.03098901098901099
65,2021-03-07,0.1450271247739602
66,2021-03-08,0.05758676351896691
67,2021-03-09,0.04013056835637481
68,2021-03-10,0.21324404761904764
69,2021-03-11,0.007124681933842241
70,2021-03-12,0.1291390728476821
71,2021-03-13,-0.12450018175209016
72,2021-03-14,-0.11963616907437132
73,2021-03-15,-0.060799789529071294
74,2021-03-16,0.1123956799214531
75,2021-03-17,0.09357008340059188
76,2021-03-18,-0.028622631848438305
77,2021-03-19,0.10182312925170069
78,2021-03-20,-0.00020855057351407724
79,2021-03-21,-0.00476190476190476
80,2021-03-22,0.062280701754385964
81,2021-03-23,0.2924812030075188
82,2021-03-24,0.1263540530716103
83,2021-03-25,0.11515761234071092
84,2021-03-26,-0.10846877673224978
85,2021-03-27,-0.17198879551820728
86,2021-03-28,-0.2982834994462901
87,2021-03-29,-0.3287001287001287
88,2021-03-30,-0.3430898675259577
89,2021-03-31,-0.25139623750734863
90,2021-04-01,-0.07782982045277127
91,2021-04-02,-0.07530864197530864
92,2021-04-03,-0.06639141205615194
93,2021-04-04,-0.13436293436293437
94,2021-04-05,-0.2421272158498436
95,2021-04-06,-0.11217641418983701
96,2021-04-07,-0.09711246200607902
97,2021-04-08,-0.18682287729906777
98,2021-04-09,-0.10956468424279583
99,2021-04-10,-0.11546975546975546
100,2021-04-11,-0.10776014109347441
101,2021-04-12,-0.14059523809523808
102,2021-04-13,-0.15687229437229436
103,2021-04-14,-0.2359357696566999
104,2021-04-15,-0.05142857142857143
105,2021-04-16,-0.004162504162504162
106,2021-04-17,-0.10035392535392536
107,2021-04-18,-0.05448979591836735
108,2021-04-19,-0.09297423887587822
109,2021-04-20,-0.1889594356261023
110,2021-04-21,-0.01724581724581725
111,2021-04-22,-0.2070212026416406
112,2021-04-23,-0.30304311073541845
113,2021-04-24,-0.15709376534118802
114,2021-04-25,-0.2435238095238095
115,2021-04-26,-0.22210376687988628
116,2021-04-27,-0.3278548312528895
117,2021-04-28,-0.15414825724104075
118,2021-04-29,-0.15082508250825083
119,2021-04-30,-0.25080459770114943
120,2021-05-01,-0.13002544529262086
121,2021-05-02,-0.325453514739229
122,2021-05-03,-0.1881104033970276
123,2021-05-04,-0.15410714285714286
124,2021-05-05,-0.356322926521602
125,2021-05-06,-0.21848408002254155
126,2021-05-07,-0.3119705340699816
127,2021-05-08,-0.02377526550188421
128,2021-05-09,-0.13004052684903747
129,2021-05-10,-0.0477048477048477
130,2021-05-11,0.06904761904761905
131,2021-05-12,-0.11466318234610917
132,2021-05-13,0.047951273532668884
133,2021-05-14,0.0014550264550264533
134,2021-05-15,0.006692406692406696
135,2021-05-16,-0.29039115646258506
136,2021-05-17,-0.006825396825396821
137,2021-05-18,-0.02264716910386202
138,2021-05-19,0.04821428571428571
139,2021-05-20,-0.07040420819490587
140,2021-05-21,-0.011888564949789437
141,2021-05-22,-0.10315270935960591
142,2021-05-23,0.20330788804071245
143,2021-05-24,0.12361999526178631
144,2021-05-25,-0.3095750128008193
145,2021-05-26,-0.36655592469545956
146,2021-05-27,-0.2689180434078393
147,2021-05-28,-0.29228601097759976
148,2021-05-29,-0.1501633144232422
