,date,prediction,articles_per_day
119,2020-12-29,-0.0935813953488372,787.0
120,2020-12-30,-0.07220863895680521,897.0
121,2020-12-31,-0.0918702150929639,806.0
122,2021-01-01,-0.15898876404494383,522.0
123,2021-01-02,-0.2291888062345023,412.0
124,2021-01-03,-0.2457744527569964,532.0
125,2021-01-04,-0.13436275639548284,637.0
126,2021-01-05,-0.08306264501160093,942.0
127,2021-01-06,-0.06575682382133995,940.0
128,2021-01-07,-0.05554530356154272,791.0
129,2021-01-08,-0.05085922582884916,841.0
130,2021-01-09,-0.09172059808078555,653.0
131,2021-01-10,-0.15234822451317298,512.0
132,2021-01-11,-0.05156382079459002,691.0
133,2021-01-12,0.0044393527137333525,1019.0
134,2021-01-13,0.0038736591179976162,983.0
135,2021-01-14,-0.013976041072447234,1021.0
136,2021-01-15,-0.017044612420334965,982.0
137,2021-01-16,-0.03535239810853411,646.0
138,2021-01-17,-0.23751149249157216,478.0
139,2021-01-18,-0.0026064291920069507,502.0
140,2021-01-19,0.007374378322757675,849.0
141,2021-01-20,0.036404639175257734,906.0
142,2021-01-21,0.08701215611004479,914.0
143,2021-01-22,0.040997706422018346,1022.0
144,2021-01-23,0.016884761502743775,692.0
145,2021-01-24,-0.13142857142857142,567.0
146,2021-01-25,-0.011510289501220789,835.0
147,2021-01-26,0.061413980634036344,1097.0
148,2021-01-27,-0.012201321809862735,1149.0
149,2021-01-28,0.011488250652741514,1118.0
150,2021-01-29,-0.025564284823544083,1168.0
151,2021-01-30,-0.009027492819039803,711.0
152,2021-01-31,-0.15606361829025844,592.0
153,2021-02-01,0.0010050251256281408,725.0
154,2021-02-02,0.03051337671728127,1008.0
155,2021-02-03,0.08648505686326369,1101.0
156,2021-02-04,0.07673174978236538,1175.0
157,2021-02-05,0.06985441431815147,1091.0
158,2021-02-06,0.03961053330382828,659.0
159,2021-02-07,-0.16036261331666146,475.0
160,2021-02-08,0.009349955476402494,656.0
161,2021-02-09,0.05173232083531087,924.0
162,2021-02-10,0.07517531556802244,1043.0
163,2021-02-11,0.056856187290969896,1000.0
164,2021-02-12,0.04110868888196823,935.0
165,2021-02-13,0.02124678963343451,623.0
166,2021-02-14,-0.07214206437291898,397.0
167,2021-02-15,0.0006702412868632708,435.0
168,2021-02-16,0.06350914962325081,811.0
169,2021-02-17,0.06207928197456993,975.0
170,2021-02-18,0.07193359975407317,950.0
171,2021-02-19,0.04644285962776135,837.0
172,2021-02-20,0.012263099219620958,525.0
173,2021-02-21,-0.13681337427499146,433.0
174,2021-02-22,-0.00022527596305474206,649.0
175,2021-02-23,0.08497179004958112,854.0
176,2021-02-24,0.1246811224489796,915.0
177,2021-02-25,0.1456117963986956,1029.0
178,2021-02-26,0.1583241801349443,926.0
179,2021-02-27,0.14207525655644243,640.0
180,2021-02-28,-0.006218905472636816,476.0
