,date,prediction,articles_per_day
120,2020-07-30,-0.3034201443363665,649.0
121,2020-07-31,-0.26582278481012656,638.0
122,2020-08-01,-0.3206069505628977,413.0
123,2020-08-02,-0.3304174950298211,509.0
124,2020-08-03,-0.30877671668940426,448.0
125,2020-08-04,-0.28049620951068227,589.0
126,2020-08-05,-0.2854317732366513,615.0
127,2020-08-06,-0.27407908077053056,602.0
128,2020-08-07,-0.21116086806751636,586.0
129,2020-08-08,-0.19980554205153137,414.0
130,2020-08-09,-0.2545676004872107,499.0
131,2020-08-10,-0.2660121552127162,435.0
132,2020-08-11,-0.24351226448631355,573.0
133,2020-08-12,-0.22708661417322834,647.0
134,2020-08-13,-0.2925675675675676,600.0
135,2020-08-14,-0.2037037037037037,501.0
136,2020-08-15,-0.19418019026301064,363.0
137,2020-08-16,-0.1842374616171955,398.0
138,2020-08-17,-0.2197962154294032,414.0
139,2020-08-18,-0.20017714791851196,456.0
140,2020-08-19,-0.24738415545590434,540.0
141,2020-08-20,-0.21153065367438084,498.0
142,2020-08-21,-0.23497720679651884,490.0
143,2020-08-22,-0.26565349544072947,332.0
144,2020-08-23,-0.24602332979851538,382.0
145,2020-08-24,-0.21424657534246574,372.0
146,2020-08-25,-0.2506415739948674,474.0
147,2020-08-26,-0.19784033937524104,524.0
148,2020-08-27,-0.20423728813559322,479.0
149,2020-08-28,-0.2264071096064325,479.0
150,2020-08-29,-0.2176578786020846,331.0
151,2020-08-30,-0.24041811846689895,349.0
152,2020-08-31,-0.31654676258992803,338.0
153,2020-09-01,-0.1955617198335645,438.0
154,2020-09-02,-0.1717557251908397,532.0
155,2020-09-03,-0.23993685872138912,515.0
156,2020-09-04,-0.22507362221287336,481.0
157,2020-09-05,-0.23436426116838488,296.0
158,2020-09-06,-0.26332970620239393,373.0
159,2020-09-07,-0.14656771799628943,218.0
160,2020-09-08,-0.2564753682072118,399.0
161,2020-09-09,-0.22839506172839505,527.0
162,2020-09-10,-0.28776978417266186,510.0
163,2020-09-11,-0.3073209975864843,504.0
164,2020-09-12,-0.37922403003754696,325.0
165,2020-09-13,-0.40393826503459285,384.0
166,2020-09-14,-0.29404690318701143,340.0
167,2020-09-15,-0.27315914489311166,430.0
168,2020-09-16,-0.2413536630717739,548.0
169,2020-09-17,-0.271689497716895,534.0
170,2020-09-18,-0.3149770546516479,487.0
171,2020-09-19,-0.32650273224043713,295.0
172,2020-09-20,-0.28421052631578947,327.0
173,2020-09-21,-0.2905405405405405,300.0
174,2020-09-22,-0.31774809160305345,429.0
175,2020-09-23,-0.2914691943127962,515.0
176,2020-09-24,-0.2373046875,416.0
177,2020-09-25,-0.21179138321995464,447.0
178,2020-09-26,-0.24868519909842224,270.0
179,2020-09-27,-0.247498332221481,306.0
180,2020-09-28,-0.23333333333333334,268.0
181,2020-09-29,-0.2807192807192807,408.0
182,2020-09-30,-0.2548856548856549,490.0
183,2020-10-01,-0.26490066225165565,490.0
184,2020-10-02,-0.3547486033519553,726.0
185,2020-10-03,-0.4101247248716067,554.0
186,2020-10-04,-0.38024971623155507,536.0
187,2020-10-05,-0.3331015299026426,588.0
188,2020-10-06,-0.3746799431009957,715.0
189,2020-10-07,-0.30362579573761417,734.0
190,2020-10-08,-0.32271386430678467,690.0
191,2020-10-09,-0.39097744360902253,592.0
192,2020-10-10,-0.35658511192087455,391.0
193,2020-10-11,-0.3157290470723307,359.0
194,2020-10-12,-0.3567567567567568,376.0
195,2020-10-13,-0.3018867924528302,540.0
196,2020-10-14,-0.2505870513250587,603.0
197,2020-10-15,-0.35327234342012664,576.0
198,2020-10-16,-0.33048737104233367,572.0
199,2020-10-17,-0.35543478260869565,371.0
200,2020-10-18,-0.33796296296296297,353.0
201,2020-10-19,-0.338487023743788,371.0
202,2020-10-20,-0.3549190535491905,485.0
203,2020-10-21,-0.2730015082956259,539.0
204,2020-10-22,-0.26107226107226106,523.0
205,2020-10-23,-0.28751753155680226,577.0
206,2020-10-24,-0.3050763923114835,414.0
207,2020-10-25,-0.36143308746048475,386.0
208,2020-10-26,-0.43213728549141966,391.0
209,2020-10-27,-0.387995292271479,520.0
210,2020-10-28,-0.36610169491525424,599.0
211,2020-10-29,-0.3414012738853503,639.0
212,2020-10-30,-0.3014065639651708,603.0
213,2020-10-31,-0.39646869983948635,380.0
214,2020-11-01,-0.3891625615763547,335.0
215,2020-11-02,-0.35647668393782384,391.0
216,2020-11-03,-0.38469601677148846,386.0
217,2020-11-04,-0.3326488706365503,394.0
218,2020-11-05,-0.2985449071751129,407.0
219,2020-11-06,-0.33226065969428803,501.0
220,2020-11-07,-0.39257455873402314,332.0
221,2020-11-08,-0.3523086654016445,323.0
222,2020-11-09,-0.23272214386459802,433.0
223,2020-11-10,-0.2700636942675159,635.0
224,2020-11-11,-0.3511265164644714,585.0
225,2020-11-12,-0.3998181267050621,672.0
226,2020-11-13,-0.3803566675538994,761.0
227,2020-11-14,-0.3721233174120712,466.0
228,2020-11-15,-0.381294964028777,513.0
229,2020-11-16,-0.336730979250091,559.0
230,2020-11-17,-0.3608064037948414,682.0
231,2020-11-18,-0.30709426627793973,835.0
