,date,prediction
0,2021-01-01,-0.15879828326180256
1,2021-01-02,-0.16666666666666666
2,2021-01-03,-0.189873417721519
3,2021-01-04,-0.30980392156862746
4,2021-01-05,-0.2398921832884097
5,2021-01-06,-0.16901408450704225
6,2021-01-07,-0.07453416149068323
7,2021-01-08,-0.2
8,2021-01-09,-0.18791946308724833
9,2021-01-10,-0.1724137931034483
10,2021-01-11,-0.10726643598615918
11,2021-01-12,-0.03977272727272727
12,2021-01-13,-0.03546099290780142
13,2021-01-14,-0.06596306068601583
14,2021-01-15,-0.012345679012345678
15,2021-01-16,-0.10891089108910891
16,2021-01-17,-0.17006802721088435
17,2021-01-18,-0.16831683168316833
18,2021-01-19,-0.010169491525423728
19,2021-01-20,0.026881720430107527
20,2021-01-21,-0.012658227848101266
21,2021-01-22,-0.03076923076923077
22,2021-01-23,-0.028037383177570093
23,2021-01-24,-0.05507246376811594
24,2021-01-25,-0.06097560975609756
25,2021-01-26,0.02843601895734597
26,2021-01-27,0.01809954751131222
27,2021-01-28,-0.02386117136659436
28,2021-01-29,0.038202247191011236
29,2021-01-30,0.02654867256637168
30,2021-01-31,-0.15
31,2021-02-01,0.0038910505836575876
32,2021-02-02,-0.08123249299719888
33,2021-02-03,0.12702078521939955
34,2021-02-04,0.0022172949002217295
35,2021-02-05,0.08878504672897196
36,2021-02-06,-0.027972027972027972
37,2021-02-07,-0.15932203389830507
38,2021-02-08,-0.16104868913857678
39,2021-02-09,0.06285714285714286
40,2021-02-10,0.035629453681710214
41,2021-02-11,-0.016867469879518072
42,2021-02-12,-0.038560411311053984
43,2021-02-13,-0.0196078431372549
44,2021-02-14,-0.022727272727272728
45,2021-02-15,-0.05365853658536585
46,2021-02-16,-0.17721518987341772
47,2021-02-17,0.007444168734491315
48,2021-02-18,0.01837270341207349
49,2021-02-19,-0.06086956521739131
50,2021-02-20,0.10344827586206896
51,2021-02-21,-0.056856187290969896
52,2021-02-22,-0.14084507042253522
53,2021-02-23,0.10843373493975904
54,2021-02-24,0.05235602094240838
55,2021-02-25,0.11166253101736973
56,2021-02-26,0.07784431137724551
57,2021-02-27,0.05555555555555555
58,2021-02-28,0.08794788273615635
59,2021-03-01,0.12
60,2021-03-02,0.10684931506849316
61,2021-03-03,0.28169014084507044
62,2021-03-04,0.14214463840399003
63,2021-03-05,0.13314447592067988
64,2021-03-06,0.3222591362126246
65,2021-03-07,0.015479876160990712
66,2021-03-08,0.053061224489795916
67,2021-03-09,0.22807017543859648
68,2021-03-10,0.14553990610328638
69,2021-03-11,0.21428571428571427
70,2021-03-12,0.2133676092544987
71,2021-03-13,0.11363636363636363
72,2021-03-14,-0.02608695652173913
73,2021-03-15,0.08085106382978724
74,2021-03-16,0.17105263157894737
75,2021-03-17,0.3402061855670103
76,2021-03-18,0.19318181818181818
77,2021-03-19,0.16167664670658682
78,2021-03-20,0.1320754716981132
79,2021-03-21,0.00946372239747634
80,2021-03-22,0.12562814070351758
81,2021-03-23,0.1559633027522936
82,2021-03-24,0.0963855421686747
83,2021-03-25,0.05389221556886228
84,2021-03-26,0.14814814814814814
85,2021-03-27,0.17796610169491525
86,2021-03-28,0.021897810218978103
87,2021-03-29,0.13043478260869565
88,2021-03-30,0.06666666666666667
89,2021-03-31,0.11229946524064172
90,2021-04-01,0.08179419525065963
91,2021-04-02,0.07100591715976332
92,2021-04-03,-0.109375
93,2021-04-04,-0.03225806451612903
94,2021-04-05,-0.02145922746781116
95,2021-04-06,0.13761467889908258
96,2021-04-07,0.11170212765957446
97,2021-04-08,-0.0949367088607595
98,2021-04-09,-0.028938906752411574
99,2021-04-10,-0.0891089108910891
100,2021-04-11,0.04059040590405904
101,2021-04-12,0.036734693877551024
102,2021-04-13,0.00906344410876133
103,2021-04-14,-0.19331742243436753
104,2021-04-15,0.002881844380403458
105,2021-04-16,-0.08633093525179857
106,2021-04-17,-0.08085106382978724
107,2021-04-18,0.0035842293906810036
108,2021-04-19,0.1111111111111111
109,2021-04-20,0.13513513513513514
110,2021-04-21,0.007518796992481203
111,2021-04-22,0.0072992700729927005
112,2021-04-23,0.08955223880597014
113,2021-04-24,0.12380952380952381
114,2021-04-25,0.06276150627615062
115,2021-04-26,0.013824884792626729
116,2021-04-27,0.12025316455696203
117,2021-04-28,0.16293929712460065
118,2021-04-29,0.148014440433213
119,2021-04-30,0.16129032258064516
120,2021-05-01,0.02631578947368421
121,2021-05-02,-0.10743801652892562
122,2021-05-03,-0.027777777777777776
123,2021-05-04,0.19322033898305085
124,2021-05-05,0.08033240997229917
125,2021-05-06,0.1761006289308176
126,2021-05-07,0.1779935275080906
127,2021-05-08,0.08163265306122448
128,2021-05-09,0.05527638190954774
129,2021-05-10,0.019230769230769232
130,2021-05-11,0.21428571428571427
131,2021-05-12,0.13836477987421383
132,2021-05-13,0.2865853658536585
133,2021-05-14,0.26744186046511625
134,2021-05-15,0.13360323886639677
135,2021-05-16,0.1646586345381526
136,2021-05-17,0.22388059701492538
137,2021-05-18,0.16083916083916083
138,2021-05-19,0.17307692307692307
139,2021-05-20,0.09090909090909091
140,2021-05-21,0.08641975308641975
141,2021-05-22,0.1565217391304348
142,2021-05-23,0.208955223880597
143,2021-05-24,0.10160427807486631
144,2021-05-25,0.1553784860557769
145,2021-05-26,0.14473684210526316
146,2021-05-27,0.06923076923076923
147,2021-05-28,0.30566037735849055
148,2021-05-29,0.11794871794871795
149,2021-05-30,0.1031390134529148
150,2021-05-31,0.17894736842105263
151,2021-06-01,0.24691358024691357
152,2021-06-02,0.1724137931034483
