,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred
666,World,2021-12-28,283317773.0,1326573.0,955173.286,5414207.0,7577.0,6534.857,35977.017,168.454,121.292,687.521,0.962,0.83,1.45,9058400060.0,4538616738.0,3844897602.0,510265638.0,50749243.0,35223442.0,115.03,57.63,48.82,6.48,4473.0,7244403.0,0.092
667,World,2021-12-29,285014194.0,1696421.0,1067435.571,5422082.0,7876.0,6177.714,36192.436,215.419,135.548,688.521,1.0,0.784,1.49,9098021704.0,4544964975.0,3856052122.0,518805302.0,54503593.0,36370040.0,115.53,57.71,48.97,6.59,4618.0,7345084.0,0.093
668,World,2021-12-30,286956699.0,1942505.0,1201113.714,5429669.0,7589.0,6226.143,36439.104,246.668,152.523,689.485,0.964,0.791,1.5,9135608327.0,4550839969.0,3876782445.0,526377610.0,46164295.0,35695869.0,116.01,57.79,49.23,6.68,4533.0,7060919.0,0.09
669,World,2021-12-31,288702675.0,1745976.0,1323131.571,5436406.0,6152.0,6233.0,36660.817,221.712,168.017,690.34,0.781,0.791,1.48,9167967323.0,4557669591.0,3887537984.0,530240140.0,46626772.0,35819579.0,116.42,57.88,49.37,6.73,4549.0,7040353.0,0.089
670,World,2022-01-01,289928269.0,1225594.0,1397913.0,5440843.0,4437.0,6246.429,36816.448,155.632,177.514,690.904,0.563,0.793,1.47,9187623399.0,4562264488.0,3895183292.0,532822976.0,31244326.0,34069706.0,116.67,57.93,49.46,6.77,4326.0,6699135.0,0.085
671,World,2022-01-02,290848268.0,919999.0,1446469.714,5444122.0,3279.0,6175.857,36933.274,116.826,183.679,691.32,0.416,0.784,1.48,9205032920.0,4568844139.0,3898659795.0,535556869.0,23456705.0,33560753.0,116.89,58.02,49.51,6.8,4262.0,7082557.0,0.09
672,World,2022-01-03,293207521.0,2359259.0,1602332.429,5449853.0,5731.0,6091.571,37232.863,299.59,203.472,692.048,0.728,0.774,1.51,9237475569.0,4577818135.0,3906491299.0,542095647.0,35111983.0,33298472.0,117.3,58.13,49.61,6.88,4228.0,7415504.0,0.094
673,World,2022-01-04,295707566.0,2500045.0,1769971.286,5457819.0,8005.0,6152.714,37550.331,317.467,224.759,693.059,1.017,0.781,1.51,9275911212.0,4590566499.0,3916210110.0,549996293.0,37839662.0,32302581.0,117.79,58.29,49.73,6.98,4102.0,7665403.0,0.097
674,World,2022-01-05,298281715.0,2574149.0,1895361.0,5465746.0,7927.0,6160.0,37877.208,326.877,240.682,694.066,1.007,0.782,1.49,9310735670.0,4600066694.0,3922890658.0,558689629.0,39692253.0,31044267.0,118.23,58.41,49.81,7.09,3942.0,7992118.0,0.101
675,World,2022-01-06,300939739.0,2658024.0,1997578.0,5473377.0,7080.0,6087.286,38214.736,337.528,253.662,695.035,0.899,0.773,1.47,9346218578.0,4609987103.0,3936164120.0,776995565.0,39739726.0,31116718.0,118.68,58.54,49.98,9.87,3951.0,8631729.0,0.11
676,World,2022-01-07,303883580.0,2943841.0,2168701.571,5480630.0,7253.0,6244.571,38588.559,373.823,275.392,695.956,0.921,0.793,1.45,9381160689.0,4624023557.0,3947522224.0,785346363.0,44513923.0,32150521.0,119.13,58.72,50.13,9.97,4083.0,9608619.0,0.122
677,World,2022-01-08,306062615.0,2179035.0,2304907.429,5486179.0,5551.0,6403.714,38865.263,276.704,292.688,696.661,0.705,0.813,1.42,9405171500.0,4628441605.0,3951895948.0,792702039.0,27939308.0,32841842.0,119.43,58.77,50.18,10.07,4170.0,9717926.0,0.123
678,World,2022-01-09,308098646.0,2036031.0,2464340.571,5490182.0,4003.0,6507.143,39123.808,258.545,312.933,697.169,0.508,0.826,1.39,9437321341.0,4637307777.0,3961081132.0,799418993.0,31364324.0,34184047.0,119.84,58.89,50.3,10.15,4341.0,9932854.0,0.126
679,World,2022-01-10,311286913.0,3188267.0,2582770.286,5496598.0,6417.0,6605.143,39528.669,404.861,327.972,697.984,0.815,0.839,1.37,9496236085.0,4659973188.0,3984046924.0,807737729.0,33679424.0,34260053.0,120.59,59.17,50.59,10.26,4351.0,9731645.0,0.124
680,World,2022-01-11,314318859.0,3031949.0,2658756.571,5505855.0,9257.0,6784.0,39913.68,385.011,337.621,699.159,1.175,0.861,1.33,9532931659.0,4669738603.0,3994461127.0,816581709.0,42578190.0,35177494.0,121.05,59.3,50.72,10.37,4467.0,10031438.0,0.127
681,World,2022-01-12,317771850.0,3452991.0,2784305.429,5515057.0,9202.0,6966.143,40352.157,438.477,353.564,700.328,1.169,0.885,1.3,9565677035.0,4679863232.0,4002188347.0,825637802.0,35324264.0,34864779.0,121.47,59.43,50.82,10.48,4427.0,9787690.0,0.124
682,World,2022-01-13,320953799.0,3181949.0,2859151.857,5523388.0,8331.0,7144.857,40756.215,404.059,363.068,701.386,1.058,0.907,1.26,9602301025.0,4688155568.0,4015700915.0,845412286.0,37564009.0,34771411.0,121.93,59.53,50.99,10.74,4415.0,9616130.0,0.122
683,World,2022-01-14,324269751.0,3315952.0,2912310.571,5531383.0,7995.0,7250.857,41177.29,421.075,369.819,702.401,1.015,0.921,1.24,9626834951.0,4695642113.0,4025437808.0,854929463.0,30506987.0,32674449.0,122.25,59.63,51.12,10.86,4149.0,8536089.0,0.108
684,World,2022-01-15,326766618.0,2496867.0,2957715.143,5537788.0,6405.0,7372.857,41494.354,317.064,375.585,703.214,0.813,0.936,1.22,9654458381.0,4704998894.0,4033608308.0,862076991.0,32924269.0,33512355.0,122.6,59.75,51.22,10.95,4256.0,9147859.0,0.116
685,World,2022-01-16,328944549.0,2177931.0,2977986.571,5542158.0,4370.0,7425.286,41770.918,276.564,378.159,703.769,0.555,0.943,1.2,9684030790.0,4712772702.0,4042025072.0,869733327.0,28712081.0,33363491.0,122.97,59.84,51.33,11.04,4237.0,9016783.0,0.114
686,World,2022-01-17,331605815.0,2661266.0,2902700.714,5548247.0,6089.0,7378.429,42108.858,337.94,368.599,704.542,0.773,0.937,1.18,9715451136.0,4721795490.0,4050261455.0,880065009.0,34245852.0,33548322.0,123.37,59.96,51.43,11.18,4260.0,9190300.0,0.117
687,World,2022-01-18,335366551.0,3760736.0,3006813.143,5557536.0,9289.0,7383.0,42586.414,477.556,381.819,705.722,1.18,0.938,1.19,9738798895.0,4726708889.0,4055321462.0,888345141.0,25905995.0,31011749.0,123.67,60.02,51.5,11.28,3938.0,8178573.0,0.104
688,World,2022-01-19,339455679.0,4089128.0,3097689.857,5567592.0,10056.0,7505.0,43105.671,519.257,393.359,706.999,1.277,0.953,1.18,9777244543.0,4738062297.0,4069649276.0,897370854.0,42631682.0,31750365.0,124.16,60.17,51.68,11.4,4032.0,8539885.0,0.108
689,World,2022-01-20,343161269.0,3705590.0,3172495.714,5577280.0,9688.0,7698.857,43576.224,470.553,402.858,708.229,1.23,0.978,1.16,9804214849.0,4744939413.0,4077894073.0,905992587.0,33818171.0,31056228.0,124.5,60.25,51.78,11.5,3944.0,8337582.0,0.106
690,World,2022-01-21,346997033.0,3835764.0,3246754.571,5587238.0,9958.0,7979.286,44063.307,487.083,412.288,709.494,1.265,1.013,1.14,9835493044.0,4754236327.0,4091039427.0,915392395.0,35423462.0,31508193.0,124.9,60.37,51.95,11.62,4001.0,8560407.0,0.109
691,World,2022-01-22,349786143.0,2789110.0,3288503.571,5593486.0,6248.0,7956.857,44417.481,354.174,417.59,710.287,0.793,1.01,1.12,9857947981.0,4760804118.0,4098506977.0,921109210.0,30142749.0,30784230.0,125.18,60.45,52.04,11.7,3909.0,8086199.0,0.103
692,World,2022-01-23,352242695.0,2456552.0,3328306.571,5598504.0,5018.0,8049.429,44729.426,311.944,422.644,710.924,0.637,1.022,1.1,9890025377.0,4766787911.0,4104229809.0,926284488.0,23564456.0,29732121.0,125.59,60.53,52.12,11.76,3776.0,7615753.0,0.097
693,World,2022-01-24,355665186.0,3422491.0,3437053.0,5607004.0,8500.0,8393.857,45164.03,434.604,436.453,712.004,1.079,1.066,1.09,9914503482.0,4771328976.0,4109827683.0,933880865.0,25924041.0,28329927.0,125.9,60.59,52.19,11.86,3597.0,6948015.0,0.088
694,World,2022-01-25,359316239.0,3651053.0,3421384.0,5617729.0,10953.0,8631.571,45627.657,463.628,434.463,713.366,1.391,1.096,1.07,9939012422.0,4776371729.0,4117319618.0,941410634.0,30438563.0,28997294.0,126.21,60.65,52.28,11.95,3682.0,7155999.0,0.091
695,World,2022-01-26,362978563.0,3662324.0,3360412.0,5628328.0,10599.0,8709.143,46092.717,465.059,426.721,714.711,1.346,1.106,1.05,9965817936.0,4781751083.0,4124397439.0,949285859.0,29541866.0,27247432.0,126.55,60.72,52.37,12.05,3460.0,6367421.0,0.081
696,World,2022-01-27,366734918.0,3756355.0,3367664.143,5638862.0,10534.0,8830.0,46569.716,477.0,427.642,716.049,1.338,1.121,1.03,9988604980.0,4785440683.0,4131253594.0,958465805.0,29740361.0,26608354.0,126.84,60.77,52.46,12.17,3379.0,5881006.0,0.075
697,World,2022-01-28,370354965.0,3620047.0,3336847.429,5651101.0,12239.0,9155.857,47029.407,459.691,423.729,717.603,1.554,1.163,1.02,10018277323.0,4793878951.0,4142992438.0,966657301.0,32750068.0,26086557.0,127.22,60.87,52.61,12.28,3313.0,5600787.0,0.071
698,World,2022-01-29,373095959.0,2740994.0,3329973.714,5659145.0,8044.0,9412.429,47377.471,348.064,422.856,718.625,1.021,1.195,1.01,10035952309.0,4798445628.0,4148580656.0,970971639.0,26328925.0,25346795.0,127.44,60.93,52.68,12.33,3219.0,5355931.0,0.068
699,World,2022-01-30,375412557.0,2316598.0,3309980.286,5664805.0,5660.0,9504.143,47671.643,294.172,420.317,719.343,0.719,1.207,0.99,10054293906.0,4802550458.0,4156267699.0,975840994.0,24518475.0,25274220.0,127.67,60.99,52.78,12.39,3209.0,5379545.0,0.068
700,World,2022-01-31,378899246.0,2667406.0,3202111.0,5674525.0,9723.0,9678.857,48114.399,338.72,406.619,720.578,1.235,1.229,0.97,10075423048.0,4807413280.0,4164710840.0,982470729.0,23649266.0,25081615.0,127.94,61.05,52.89,12.48,3185.0,5660070.0,0.072
701,World,2022-02-01,382059738.0,3160492.0,3132030.857,5688523.0,12877.0,9953.714,48515.733,401.334,397.72,722.355,1.635,1.264,0.95,10094368895.0,4812380998.0,4173104396.0,988776650.0,22339020.0,23927791.0,128.18,61.11,52.99,12.56,3038.0,5563376.0,0.071
702,World,2022-02-02,385248268.0,3188530.0,3064346.0,5700700.0,12177.0,10179.143,48920.628,404.894,389.125,723.902,1.546,1.293,0.92,10113898985.0,4817945031.0,4180723684.0,994919162.0,23569703.0,23023023.0,128.43,61.18,53.09,12.63,2924.0,5479061.0,0.07
703,World,2022-02-03,388420891.0,3172623.0,2980955.714,5712409.0,11709.0,10347.0,49323.502,402.875,378.536,725.388,1.487,1.314,0.91,10130021381.0,4821669765.0,4186652619.0,1000977967.0,23483097.0,22223434.0,128.64,61.23,53.16,12.71,2822.0,5574652.0,0.071
704,World,2022-02-04,391365596.0,2944705.0,2884478.286,5725554.0,13217.0,10486.714,49697.435,373.932,366.285,727.058,1.678,1.332,0.9,10150928742.0,4827435910.0,4197047315.0,1006988085.0,25211855.0,21594552.0,128.9,61.3,53.3,12.79,2742.0,5612861.0,0.071
705,World,2022-02-05,393665385.0,2299789.0,2821449.0,5733934.0,8380.0,10534.714,49989.473,292.038,358.281,728.122,1.064,1.338,0.89,10165506554.0,4831106291.0,4203483142.0,1011783497.0,23625760.0,21679510.0,129.09,61.35,53.38,12.85,2753.0,5739532.0,0.073
706,World,2022-02-06,395537380.0,1871995.0,2757934.286,5739805.0,5871.0,10564.857,50227.187,237.715,350.215,728.867,0.746,1.342,0.88,10234011561.0,4836626738.0,4210577979.0,1022154999.0,18998497.0,21318091.0,129.96,61.42,53.47,12.98,2707.0,5682400.0,0.072
707,World,2022-02-07,398133482.0,2596102.0,2747748.0,5750653.0,10848.0,10725.571,50556.853,329.665,348.922,730.245,1.378,1.362,0.87,10255206092.0,4842794158.0,4215781695.0,1156765748.0,20152410.0,20949363.0,130.23,61.5,53.53,14.69,2660.0,5477969.0,0.07
708,World,2022-02-08,400758251.0,2624769.0,2671216.143,5763711.0,13058.0,10751.429,50890.158,333.305,339.204,731.903,1.658,1.365,0.85,10281262039.0,4847469167.0,4224984113.0,1162812956.0,28397679.0,21884068.0,130.56,61.56,53.65,14.77,2779.0,5516714.0,0.07
709,World,2022-02-09,403196937.0,2438686.0,2564095.571,5777005.0,13294.0,10911.0,51199.834,309.676,325.601,733.591,1.688,1.386,0.84,10309813580.0,4852483050.0,4233211698.0,1169519645.0,31824688.0,23053066.0,130.92,61.62,53.76,14.85,2927.0,5529244.0,0.07
710,World,2022-02-10,405976921.0,2779984.0,2508004.286,5788767.0,11762.0,10918.571,51552.849,353.015,318.478,735.085,1.494,1.386,0.84,10331497906.0,4856358893.0,4240334414.0,1204242730.0,25355220.0,23330363.0,131.19,61.67,53.85,15.29,2963.0,5427451.0,0.069
711,World,2022-02-11,408398577.0,2421656.0,2433283.0,5800950.0,12183.0,10770.857,51860.362,307.513,308.99,736.632,1.547,1.368,0.83,10360291360.0,4861193226.0,4250666988.0,1210825613.0,35346266.0,24773656.0,131.56,61.73,53.98,15.38,3146.0,5510709.0,0.07
712,World,2022-02-12,410317974.0,1919397.0,2378941.286,5809776.0,8826.0,10834.571,52104.096,243.734,302.089,737.753,1.121,1.376,0.83,10378375719.0,4864389544.0,4255761876.0,1214755829.0,24299204.0,24798867.0,131.79,61.77,54.04,15.43,3149.0,5329347.0,0.068
713,World,2022-02-13,411835458.0,1517484.0,2328296.857,5814978.0,5202.0,10739.0,52296.794,192.697,295.658,738.413,0.661,1.364,0.82,10406775674.0,4871385129.0,4265002822.0,1221618435.0,23031329.0,25329501.0,132.15,61.86,54.16,15.51,3216.0,5354986.0,0.068
714,World,2022-02-14,413534938.0,1699480.0,2200208.0,5825842.0,10864.0,10741.286,52512.602,215.808,279.393,739.793,1.38,1.364,0.81,10428365112.0,4874656935.0,4270317887.0,1227692856.0,23452928.0,25781956.0,132.42,61.9,54.23,15.59,3274.0,5442411.0,0.069
715,World,2022-02-15,415414492.0,1885086.0,2094539.0,5836559.0,10717.0,10406.857,52751.276,239.377,265.974,741.154,1.361,1.322,0.8,10449833334.0,4880453417.0,4280104455.0,1233370319.0,27298766.0,25457241.0,132.7,61.97,54.35,15.66,3233.0,5420619.0,0.069
716,World,2022-02-16,417651981.0,2240063.0,2066164.286,5849545.0,12986.0,10362.857,53035.403,284.454,262.371,742.803,1.649,1.316,0.81,10472420415.0,4884432267.0,4285908674.0,1238971924.0,27171091.0,24706480.0,132.98,62.02,54.42,15.73,3137.0,5328706.0,0.068
717,World,2022-02-17,419708968.0,2056987.0,1962879.0,5861930.0,12385.0,10451.857,53296.609,261.206,249.256,744.375,1.573,1.327,0.82,10497111034.0,4887559133.0,4292577024.0,1252376584.0,31301377.0,25471763.0,133.3,62.06,54.51,15.9,3235.0,5440731.0,0.069
718,World,2022-02-18,421688205.0,1979237.0,1899676.286,5872576.0,10646.0,10232.286,53547.942,251.333,241.23,745.727,1.352,1.299,0.82,10540967272.0,4899353698.0,4317484022.0,1258581938.0,31150350.0,24506259.0,133.85,62.21,54.83,15.98,3112.0,5321837.0,0.068
719,World,2022-02-19,423316763.0,1628558.0,1858127.857,5881085.0,8509.0,10187.0,53754.744,206.802,235.954,746.808,1.081,1.294,0.83,10569419655.0,4908231982.0,4326355119.0,1266963651.0,29534604.0,24925512.0,134.22,62.33,54.94,16.09,3165.0,5571287.0,0.071
720,World,2022-02-20,424642026.0,1325263.0,1830667.714,5886478.0,5393.0,10214.286,53923.032,168.288,232.467,747.493,0.685,1.297,0.83,10588594613.0,4912636812.0,4331098765.0,1271324677.0,24095482.0,24214519.0,134.46,62.38,55.0,16.14,3075.0,5455916.0,0.069
721,World,2022-02-21,426037962.0,1395936.0,1787304.286,5893647.0,7169.0,9686.429,54100.294,177.262,226.96,748.403,0.91,1.23,0.83,10617625449.0,4921028408.0,4339508308.0,1277093045.0,28558240.0,24026428.0,134.83,62.49,55.11,16.22,3051.0,5380552.0,0.068
722,World,2022-02-22,427750038.0,1712076.0,1762588.571,5903801.0,10154.0,9606.0,54317.702,217.407,223.822,749.692,1.289,1.22,0.83,10639258199.0,4925546313.0,4346128762.0,1281233851.0,30254211.0,23712994.0,135.1,62.55,55.19,16.27,3011.0,5226821.0,0.066
723,World,2022-02-23,429677074.0,1927036.0,1717870.429,5915821.0,12021.0,9468.143,54562.406,244.704,218.143,751.219,1.526,1.202,0.84,10658151103.0,4928122944.0,4351353714.0,1285415153.0,29541988.0,23661672.0,135.34,62.58,55.26,16.32,3005.0,5517552.0,0.07
724,World,2022-02-24,431445192.0,1768118.0,1676603.429,5926598.0,10777.0,9238.429,54786.929,224.524,212.903,752.587,1.369,1.173,0.85,10682591386.0,4943791981.0,4356392990.0,1293824764.0,32013913.0,23324460.0,135.65,62.78,55.32,16.43,2962.0,5720814.0,0.073
725,World,2022-02-25,433081992.0,1636800.0,1627683.857,5935451.0,8853.0,8982.286,54994.778,207.849,206.691,753.711,1.124,1.141,0.86,10701659482.0,4948356705.0,4363733068.0,1393436279.0,31153321.0,23206842.0,135.89,62.84,55.41,17.69,2947.0,5810968.0,0.074
726,World,2022-02-26,434511139.0,1429147.0,1599196.571,5941970.0,6519.0,8698.0,55176.258,181.48,203.073,754.539,0.828,1.105,0.87,10716483685.0,4951359247.0,4368700928.0,1395394393.0,26918729.0,22706363.0,136.08,62.87,55.48,17.72,2883.0,5823695.0,0.074
727,World,2022-02-27,435657991.0,1146869.0,1573711.714,5946461.0,4493.0,8569.429,55321.89,145.635,199.837,755.109,0.571,1.088,0.89,10731377593.0,4954682045.0,4371325027.0,1399221045.0,21996801.0,22811486.0,136.27,62.92,55.51,17.77,2897.0,6024397.0,0.077
728,World,2022-02-28,437016782.0,1358791.0,1568405.286,5954080.0,7619.0,8633.714,55494.436,172.546,199.163,756.077,0.967,1.096,0.89,10779715006.0,4978630063.0,4382859777.0,1406217251.0,27996131.0,23132240.0,136.89,63.22,55.66,17.86,2937.0,6276940.0,0.08
729,World,2022-03-01,438640534.0,1623752.0,1555787.571,5962259.0,8387.0,8381.286,55700.628,206.192,197.561,757.116,1.065,1.064,0.9,10792058655.0,4980393946.0,4385459154.0,1408282440.0,21834594.0,22062463.0,137.04,63.24,55.69,17.88,2802.0,5991699.0,0.076
730,World,2022-03-02,440301019.0,1660485.0,1517708.857,5970251.0,7992.0,7805.714,55911.484,210.856,192.726,758.13,1.015,0.991,0.91,10810046007.0,4982353143.0,4388021804.0,1413697319.0,25554856.0,21349356.0,137.27,63.27,55.72,17.95,2711.0,5448274.0,0.069
731,World,2022-03-03,442057302.0,1756283.0,1516018.143,5978431.0,8181.0,7434.857,56134.505,223.021,192.511,759.169,1.039,0.944,0.93,10825153540.0,4983836441.0,4393964025.0,1417785299.0,24183158.0,20266041.0,137.46,63.29,55.8,18.0,2573.0,4885489.0,0.062
732,World,2022-03-04,443811144.0,1753855.0,1532740.286,5987014.0,8586.0,7396.714,56357.216,222.713,194.635,760.259,1.09,0.939,0.95,10840759490.0,4986663148.0,4398224050.0,1421805632.0,23319081.0,19332815.0,137.66,63.32,55.85,18.05,2455.0,4486665.0,0.057
733,World,2022-03-05,445280808.0,1469664.0,1538528.429,5992696.0,5682.0,7277.143,56543.841,186.625,195.37,760.981,0.722,0.924,0.97,10861024901.0,4990847053.0,4404861064.0,1425751746.0,21384650.0,18709504.0,137.92,63.38,55.93,18.1,2376.0,3988472.0,0.051
734,World,2022-03-06,446493161.0,1212353.0,1547883.286,5996770.0,4075.0,7217.429,56697.791,153.95,196.557,761.498,0.517,0.917,0.98,10888697761.0,4998551903.0,4432495111.0,1431680806.0,17768314.0,18043208.0,138.27,63.47,56.29,18.18,2291.0,3568909.0,0.045
735,World,2022-03-07,447915998.0,1422837.0,1557032.714,6004304.0,7350.0,7179.0,56878.469,180.679,197.719,762.455,0.933,0.912,0.99,10904249344.0,5000071027.0,4436436716.0,1436267632.0,18625033.0,17024846.0,138.47,63.49,56.34,18.24,2162.0,3062066.0,0.039
736,World,2022-03-08,449666795.0,1750797.0,1575182.0,6011571.0,7267.0,7019.0,57100.794,222.324,200.024,763.377,0.923,0.891,1.0,10920297324.0,5002829478.0,4441816911.0,1440378744.0,17811275.0,17110854.0,138.67,63.53,56.4,18.29,2173.0,3087903.0,0.039
737,World,2022-03-09,451506139.0,1839344.0,1600733.286,6019368.0,7797.0,6991.143,57334.362,233.569,203.269,764.368,0.99,0.888,1.01,10937769660.0,5005499308.0,4447297904.0,1444896794.0,18775470.0,16735076.0,138.89,63.56,56.47,18.35,2125.0,2988541.0,0.038
738,World,2022-03-10,453367045.0,1861249.0,1615728.429,6026890.0,7522.0,6897.0,57570.669,236.35,205.173,765.323,0.955,0.876,1.02,10954398453.0,5008760039.0,4453381225.0,1449733371.0,19802368.0,16654919.0,139.1,63.6,56.55,18.41,2115.0,3044226.0,0.039
739,World,2022-03-11,455217475.0,1850430.0,1629524.857,6033368.0,6478.0,6595.857,57805.645,234.976,206.925,766.145,0.823,0.838,1.04,10968594546.0,5010573634.0,4458097715.0,1452477956.0,19680622.0,16528259.0,139.28,63.63,56.61,18.44,2099.0,2951681.0,0.037
740,World,2022-03-12,456965835.0,1748360.0,1669338.571,6038081.0,4713.0,6457.429,58027.66,222.015,211.98,766.744,0.598,0.82,1.04,10981800940.0,5012263739.0,4461031574.0,1455632201.0,16523932.0,16191256.0,139.45,63.65,56.65,18.48,2056.0,2917979.0,0.037
741,World,2022-03-13,458247159.0,1281324.0,1679191.571,6041431.0,3350.0,6353.857,58190.369,162.709,213.232,767.169,0.425,0.807,1.04,10998292807.0,5015633481.0,4467624105.0,1462339526.0,14818514.0,16218696.0,139.66,63.69,56.73,18.57,2060.0,2919179.0,0.037
742,World,2022-03-14,459876540.0,1629384.0,1708698.286,6046702.0,5271.0,6056.857,58397.275,206.907,216.979,767.839,0.669,0.769,1.04,11012445866.0,5020025829.0,4480386387.0,1466185426.0,18275443.0,16192371.0,139.84,63.75,56.89,18.62,2056.0,2876351.0,0.037
743,World,2022-03-15,461679047.0,1802507.0,1716085.429,6052019.0,5604.0,5819.286,58626.166,228.891,217.917,768.514,0.712,0.739,1.03,11030052000.0,5024435682.0,4485520241.0,1470245935.0,18172385.0,16294264.0,140.06,63.8,56.96,18.67,2069.0,2828097.0,0.036
744,World,2022-03-16,463902495.0,2223448.0,1770957.429,6058806.0,6787.0,5675.0,58908.51,282.344,224.884,769.376,0.862,0.721,1.04,11045831615.0,5025759096.0,4489363724.0,1474591074.0,18443912.0,16331987.0,140.27,63.82,57.01,18.73,2074.0,2818070.0,0.036
745,World,2022-03-17,465955410.0,2052915.0,1798338.286,6065881.0,6732.0,5562.143,59169.198,260.689,228.361,770.274,0.855,0.706,1.03,11060293740.0,5029643038.0,4492947533.0,1568380540.0,18335013.0,16095420.0,140.45,63.87,57.05,19.92,2044.0,2759297.0,0.035
746,World,2022-03-18,467869139.0,1913729.0,1807381.0,6071303.0,5422.0,5411.286,59412.213,243.014,229.51,770.962,0.689,0.687,1.02,11076084102.0,5033544933.0,4497326851.0,1576900751.0,18194452.0,15606977.0,140.65,63.92,57.11,20.02,1982.0,2746064.0,0.035
747,World,2022-03-19,469578242.0,1709103.0,1801772.857,6075141.0,3838.0,5286.286,59629.243,217.03,228.798,771.45,0.487,0.671,1.01,11085845803.0,5035005866.0,4498983370.0,1578398798.0,15458441.0,15233893.0,140.77,63.94,57.13,20.04,1934.0,2696054.0,0.034
748,World,2022-03-20,470648386.0,1070144.0,1771604.286,6078208.0,3067.0,5245.857,59765.134,135.892,224.967,771.839,0.389,0.666,0.99,11095903461.0,5036964171.0,4501772738.0,1580636545.0,13473859.0,15127635.0,140.9,63.96,57.17,20.07,1921.0,2660444.0,0.034
749,World,2022-03-21,472119029.0,1470643.0,1748927.0,6094526.0,4872.0,5188.857,59951.884,186.749,222.087,773.911,0.619,0.659,0.97,11111205408.0,5040529373.0,4505803111.0,1595830871.0,16685726.0,14924460.0,141.1,64.01,57.22,20.26,1895.0,2831284.0,0.036
750,World,2022-03-22,474094467.0,1975442.0,1773632.0,6099434.0,4908.0,5089.429,60202.734,250.851,225.224,774.535,0.623,0.646,0.96,11127899108.0,5043568004.0,4509496805.0,1602008633.0,20433981.0,15187839.0,141.31,64.05,57.26,20.34,1929.0,3003183.0,0.038
751,World,2022-03-23,475867447.0,1772980.0,1709279.429,6105283.0,5849.0,4955.429,60427.875,225.141,217.052,775.277,0.743,0.629,0.95,11145142313.0,5048122409.0,4513935331.0,1606316735.0,21283566.0,15384028.0,141.53,64.1,57.32,20.4,1954.0,3352212.0,0.043
752,World,2022-03-24,477618838.0,1751396.0,1666205.286,6110548.0,5290.0,4749.429,60650.275,222.4,211.583,775.946,0.672,0.603,0.94,11162541712.0,5053042598.0,4517782298.0,1622482979.0,19411458.0,15435868.0,141.75,64.17,57.37,20.6,1960.0,3561677.0,0.045
753,World,2022-03-25,479459955.0,1841117.0,1655832.143,6119519.0,8974.0,5256.857,60884.069,233.794,210.265,777.085,1.14,0.668,0.94,11173221710.0,5055602870.0,4520095391.0,1624876977.0,17494237.0,15442115.0,141.88,64.2,57.4,20.63,1961.0,3633988.0,0.046
754,World,2022-03-26,480816491.0,1356536.0,1605465.429,6122448.0,2929.0,5127.0,61056.328,172.259,203.87,777.457,0.372,0.651,0.93,11184910156.0,5059159752.0,4523842958.0,1626309228.0,18583186.0,16055767.0,142.03,64.24,57.45,20.65,2039.0,3950367.0,0.05
755,World,2022-03-27,481728469.0,911978.0,1582870.286,6124813.0,2365.0,5026.714,61172.135,115.807,201.0,777.757,0.3,0.638,0.92,11200492661.0,5062366897.0,4528492979.0,1631814093.0,14520125.0,16355315.0,142.23,64.28,57.5,20.72,2077.0,3999296.0,0.051
756,World,2022-03-28,483221215.0,1492746.0,1586027.857,6128889.0,4076.0,4913.0,61361.691,189.556,201.401,778.275,0.518,0.624,0.92,11221966249.0,5063959407.0,4536535202.0,1636827974.0,22283334.0,17372581.0,142.5,64.3,57.61,20.79,2206.0,3946694.0,0.05
757,World,2022-03-29,484970078.0,1748863.0,1553659.429,6133662.0,5040.0,4931.857,61583.77,222.079,197.291,778.881,0.64,0.626,0.9,11243315618.0,5066645008.0,4544366381.0,1642606351.0,23116474.0,17923105.0,142.77,64.34,57.71,20.86,2276.0,3931673.0,0.05
758,World,2022-03-30,486562514.0,1592436.0,1527867.429,6138654.0,4992.0,4809.429,61785.985,202.215,194.016,779.515,0.634,0.611,0.89,11261090067.0,5069873554.0,4550576812.0,1646637463.0,24318836.0,18437230.0,143.0,64.38,57.79,20.91,2341.0,3882862.0,0.049
759,World,2022-03-31,488408746.0,1846232.0,1541415.429,6143461.0,4807.0,4740.429,62020.428,234.443,195.736,780.125,0.61,0.602,0.88,11300740767.0,5079865274.0,4569493059.0,1681062265.0,19937383.0,18564237.0,143.5,64.51,58.03,21.35,2357.0,3848421.0,0.049
